institution_name,location,region,size,focus,res,status,rank_2025,rank_2024,overall,academic_reputation,employer_reputation,faculty_student,citations_per_faculty,international_faculty,international_students,international_research_network,employment_outcomes,sustainability,rank_update
University of South Australia,Australia,Oceania,Large,Comprehensive,Very High,Public,340,326,33.2,21.3,12.7,24.9,31.9,99.8,50.9,85.5,15.5,83.6,-14
Brunel University London,United Kingdom,Europe,Large,Comprehensive,Very High,Public,342,343,33,11.1,13.3,7.1,46.5,99.1,99.8,77.9,19.9,71.2,1
Sharif University of Technology,"Iran, Islamic Republic of",Asia,Medium,Foucsed,Very High,Public,342,334,33,11.5,33.6,5.1,99.9,2.9,1.2,61.4,28.2,1.3,-8
Indian Institute of Technology Guwahati (IITG),India,Asia,Medium,Comprehensive,Very High,Public,344,364,32.9,18.8,32,6.4,97.6,2.3,1.2,51.2,4.9,2.2,20
Tufts University,United States,Americas,Large,Full Comprehensive,Very High,Private,344,379,32.9,16.9,7.7,53.5,45.7,23.5,38.1,60.2,56.1,81,35
University of Oulu,Finland,Europe,Medium,Full Comprehensive,Very High,Public,344,313,32.9,15.1,13.5,25.3,59.4,65.3,8.6,89.4,21.7,68.6,-31
Tilburg University,Netherlands,Europe,Large,Specialist,Very High,Public,347,371,32.8,14.7,32.5,10.5,55.1,98.4,60.6,56.8,14.3,15.2,24
University of Naples - Federico II,Italy,Europe,Extra Large,Full Comprehensive,Very High,Public,347,335,32.8,36.6,19.7,4.2,65.1,2.2,1.1,92.5,7.3,20.1,-12
University of Victoria (UVic),Canada,Americas,Large,Comprehensive,Very High,Public,349,322,32.6,17,7.7,3.9,62.5,94.7,40.9,54.2,11.3,82.9,-27
Cairo University,Egypt,Africa,Extra Large,Full Comprehensive,Very High,Public,350,371,32.5,45.8,41,8.8,3,2.9,7.2,86.4,95.5,47.2,21
Sciences Po,France,Europe,Large,Specialist,Very High,Public,350,319,32.5,16.8,34.8,81.1,2.8,52.7,97.2,31.4,97.7,7.2,-31
City  University of London,United Kingdom,Europe,Large,Comprehensive,Very High,Public,352,328,32.4,20.8,21.3,5.6,31.2,95.8,98.9,66.4,54.8,23.2,-24
National University of Sciences And Technology (NUST) Islamabad,Pakistan,Asia,Large,Comprehensive,Very High,Public,353,367,32.3,20.4,71.6,68.8,14.5,4.3,4,73.6,2.8,44.9,14
University of Pretoria,South Africa,Africa,Extra Large,Full Comprehensive,Very High,Public,354,323,32.2,23.9,48.8,4,15.5,33.3,8.2,98.1,80.1,79.6,-31
Indiana University Bloomington,United States,Americas,Extra Large,Full Comprehensive,Very High,Public,355,313,32.1,33.4,23.6,23.3,29.1,36.3,10.8,86.6,56.8,32.7,-42
University of Coimbra,Portugal,Europe,Large,Full Comprehensive,Very High,Public,355,351,32.1,29.4,10.8,10.3,49.8,8.1,22.9,91.2,31.1,75.8,-4
University of Luxembourg,Luxembourg,Europe,Medium,Comprehensive,Very High,Public,355,381,32.1,9.2,4.5,80.8,25.2,100,100,70.1,52.8,3.1,26
University of Tartu,Estonia,Europe,Medium,Full Comprehensive,Very High,Public,358,358,32,22.9,10.5,93.7,10.8,48.6,15.1,88.8,85.7,18,0
Gwangju Institute of Science and Technology (GIST),South Korea,Asia,Small,Foucsed,Very High,Public,359,328,31.9,13.8,9,38.6,100,18.6,8.8,27,2.2,9.9,-31
Pontificia Universidad Católica del Perú,Peru,Americas,Large,Foucsed,Very High,Private,359,336,31.9,48.4,61.6,33.2,1.6,4,1.3,38.1,33,29.6,-23
University of Aveiro,Portugal,Europe,Large,Comprehensive,Very High,Public,359,344,31.9,13.9,5.6,11.1,90.6,4.2,15.3,89,2.7,57.7,-15
Sultan Qaboos University,Oman,Asia,Medium,Full Comprehensive,Very High,Public,362,454,31.7,18.6,17.1,55.6,21.9,100,3.2,78.8,51.5,55.4,92
Xiamen University,China (Mainland),Asia,Extra Large,Full Comprehensive,Very High,Public,362,392,31.7,23.6,16.2,19,72.2,5.1,3.1,62.6,46,15.4,30
York University,Canada,Americas,Extra Large,Comprehensive,Very High,Public,362,353,31.7,22.7,18.6,3.9,22.6,53.1,78.7,65.5,76.3,86.5,-9
Saint Petersburg State University,Russia,Europe,Large,Full Comprehensive,Very High,Public,365,315,31.6,36.3,30.5,59.4,4.6,4.9,38.9,83.9,71.7,3.2,-50
University of Illinois at Chicago (UIC),United States,Americas,Large,Full Comprehensive,Very High,Public,365,323,31.6,38.5,28.3,31.1,23.3,8,19.3,83.8,30.5,34.8,-42
Westfälische Wilhelms-Universität Münster,Germany,Europe,Large,Full Comprehensive,Very High,Public,367,384,31.5,31.6,22.8,64.5,10,30.5,4.5,82,35.8,66.8,17
Mahidol University,Thailand,Asia,Large,Full Comprehensive,Very High,Public,368,382,31.4,44.1,21.8,81.1,4.7,4.9,4.2,57.2,9.8,57.7,14
University of Jordan,Jordan,Asia,Extra Large,Full Comprehensive,High,Public,368,498,31.4,32.9,46.7,19.5,3.5,21.2,43.5,67,82.1,39.5,130
University of Tehran,"Iran, Islamic Republic of",Asia,Extra Large,Comprehensive,Very High,Public,368,360,31.4,20.6,26.8,3,79.1,2,2,86.2,23.1,4.7,-8
George Washington University,United States,Americas,Large,Full Comprehensive,Very High,Private,371,340,31.3,25.2,28.8,27.3,27.5,24.6,34.4,79.5,74.5,27.3,-31
Lincoln University,New Zealand,Oceania,Small,Comprehensive,Very High,Public,371,362,31.3,8.2,5,31.8,52.1,100,96.3,20.2,40,48.9,-9
Universitat Politècnica de Catalunya · BarcelonaTech (UPC),Spain,Europe,Large,Comprehensive,Very High,Public,371,354,31.3,31.8,27.7,38.9,16.7,10.1,19.8,85.3,26.3,82.5,-17
University of Turin,Italy,Europe,Extra Large,Full Comprehensive,Very High,Public,371,364,31.3,41.5,7.2,3.2,33.3,4.1,5.3,87.5,51.7,83.6,-7
University of Florence,Italy,Europe,Extra Large,Full Comprehensive,Very High,Public,375,358,31.2,34.6,8.4,4.4,46.6,7.3,12.3,88.5,30.3,74.5,-17
University of Turku,Finland,Europe,Large,Full Comprehensive,Very High,Public,375,315,31.2,27.8,12.1,52.3,29.3,33.2,4.4,86.3,39.9,52.5,-60
Nankai University,China (Mainland),Asia,Extra Large,Full Comprehensive,Very High,Public,377,384,31.1,18.5,9.8,25.4,82.9,12.3,2.7,51.1,37.9,11.5,7
Pontificia Universidad Javeriana,Colombia,Americas,Large,Full Comprehensive,High,Private,377,347,31.1,45.3,56.6,26.3,1.6,3.4,2.5,42.2,78.3,11.3,-30
University of Tsukuba,Japan,Asia,Large,Full Comprehensive,Very High,Public,377,355,31.1,36.6,22.5,54.7,17.3,12.4,19.3,66.9,9.8,63.4,-22
Technische Universität Bergakademie Freiberg,Germany,Europe,Small,Foucsed,Very High,Public,380,1401,30.8,4.9,4.8,3.5,99.1,41.4,100,41.6,1.9,1.1,1021
University of Kent,United Kingdom,Europe,Large,Comprehensive,Very High,Public,380,336,30.8,15.4,10,14.6,45.7,95.1,49.8,78.8,34,40.4,-44
University of Pisa,Italy,Europe,Large,Full Comprehensive,Very High,Public,382,349,30.7,40.4,15.1,8.6,38.8,5.9,4.2,88.3,15,56.7,-33
Anna University,India,Asia,Large,Specialist,Very High,Public,383,427,30.6,10,12,5.5,100,12.5,1.3,89.2,5.9,24.7,44
Western Sydney University,Australia,Oceania,Extra Large,Full Comprehensive,Very High,Public,384,375,30.5,19.9,14.2,4.8,31,100,45.5,87.4,8.9,89.2,-9
South China University of Technology,China (Mainland),Asia,Extra Large,Comprehensive,Very High,Public,385,392,30.4,12.1,6.6,20,97.8,10.7,4.6,51.3,27.3,7.3,7
Universiti Brunei Darussalam (UBD),Brunei,Asia,Small,Comprehensive,Very High,Public,385,387,30.4,20.2,8.8,92.9,9.9,100,46.5,35.4,56.5,12.7,2
Belarusian State University,Belarus,Europe,Large,Comprehensive,High,Public,387,387,30.3,28.4,40.7,93,1.3,3.8,59.3,36.4,38.2,1,0
Universidade Nova de Lisboa,Portugal,Europe,Large,Full Comprehensive,Very High,Public,388,400,30.2,28.7,21.8,15.9,23.9,25.3,57,86.3,48.7,38.2,12
Università Vita-Salute San Raffaele,Italy,Europe,Small,Specialist,Very High,Private,389,595,30.1,3.3,1.8,94.4,88.5,4.4,4.3,39.2,2.1,1.2,206
University of Cyprus (UCY),Cyprus,Asia,Medium,Comprehensive,Very High,Public,389,368,30.1,10,4.7,4.5,75,93.8,20,73.4,42.1,5.8,-21
Virginia Polytechnic Institute and State University,United States,Americas,Extra Large,Full Comprehensive,Very High,Public,389,302,30.1,26.4,26.2,18.9,28.4,71.8,16.5,82.6,24,34.8,-87
National Taiwan University of Science and Technology (Taiwan Tech),Taiwan,Asia,Medium,Foucsed,Very High,Public,392,387,30,27.6,37.9,43.5,29.4,19.7,25.5,29.8,19.9,38.8,-5
National and Kapodistrian University of Athens,Greece,Europe,Extra Large,Full Comprehensive,Very High,Public,393,444,29.9,26.7,33.2,2.1,31,9.9,15.9,86.6,85.8,29.3,51
University of California  Santa Cruz,United States,Americas,Large,Comprehensive,Very High,Public,393,332,29.9,17.7,5.9,7.4,65.3,53.4,7,64.5,6.1,83.6,-61
"University of Rome ""Tor Vergata""",Italy,Europe,Large,Comprehensive,Very High,Public,393,489,29.9,31.3,15.4,9,47.2,9.6,30.8,69.1,6.3,57.7,96
Northeastern University,United States,Americas,Extra Large,Comprehensive,Very High,Private,396,375,29.7,19.2,11.8,15.4,24.6,51.6,96.4,67.3,44,72.3,-21
Ruhr-Universität Bochum,Germany,Europe,Extra Large,Full Comprehensive,Very High,Public,396,375,29.7,20.3,8.8,2.5,53.4,48.8,39.3,87.3,16.2,53.5,-21
Sejong University,South Korea,Asia,Large,Comprehensive,Very High,Private,396,436,29.7,10.8,16.1,11.9,76.9,23.8,31.2,64.1,1.8,45.9,40
Université de Liège,Belgium,Europe,Large,Full Comprehensive,Very High,Public,396,421,29.7,17,11.8,9.6,38,50.3,53,94.6,23.6,81.2,25
University of Southern Queensland,Australia,Oceania,Medium,Comprehensive,Very High,Public,396,410,29.7,8.8,5.7,4.8,73.1,84.1,23,81,8.6,43,14
Kazan (Volga region) Federal University,Russia,Europe,Large,Full Comprehensive,Very High,Public,401,396,29.6,23.6,11.4,95.6,2.4,10.2,95.7,88.3,15.4,22.2,-5
Koç University,Turkey,Asia,Medium,Full Comprehensive,Very High,Private,401,431,29.6,24.3,54.6,19.1,32.4,24.7,13,51.6,6.8,34.8,30
Amirkabir University of Technology,"Iran, Islamic Republic of",Asia,Medium,Foucsed,Very High,Public,403,375,29.5,5.2,20.5,4.6,100,24.6,2.8,70.2,5.8,1.6,-28
University of Canberra,Australia,Oceania,Medium,Comprehensive,Very High,Public,403,421,29.5,14.3,7.7,2.4,51.2,79.6,69.4,63.1,5.6,70.9,18
Institut National des Sciences Appliquées de Lyon (INSA),France,Europe,Medium,Foucsed,Very High,Public,405,392,29.3,7.4,28.7,33.7,60.6,29.2,58.3,59.5,14.4,2.4,-13
Satbayev University,Kazakhstan,Asia,Medium,Foucsed,Very High,Public,405,481,29.3,27.8,43.4,88.1,1.2,66.7,16.9,15,23.6,3.8,76
USI - Università della Svizzera italiana,Switzerland,Europe,Small,Foucsed,Very High,Public,405,328,29.3,6.1,4.6,73.5,40.7,100,100,39.3,2.1,1.1,-77
Birkbeck  University of London,United Kingdom,Europe,Medium,Comprehensive,Very High,Public,408,374,29.1,10,3.6,15.6,57.1,97.7,99.5,55.5,8.8,7.7,-34
Masaryk University,Czech Republic,Europe,Extra Large,Comprehensive,Very High,Public,408,400,29.1,23.5,31.7,9.5,13.8,27.6,66.7,80.2,36,79.1,-8
HSE University,Russia,Europe,Extra Large,Comprehensive,Very High,Public,410,399,29,24,38.4,84.8,1.8,6.6,13.5,83.6,13,44.6,-11
The American University in Cairo,Egypt,Africa,Medium,Comprehensive,Very High,Private,410,415,29,32.1,31.1,35.5,5.2,97,3.8,29.4,75.6,14.6,5
Auckland University of Technology (AUT),New Zealand,Oceania,Large,Comprehensive,Very High,Public,412,407,28.9,19.3,11.2,10.6,21.7,100,99.8,52.6,12.4,72.6,-5
Graz University of Technology,Austria,Europe,Medium,Foucsed,Very High,Public,413,421,28.8,14.7,15.7,98.9,11.1,81.8,59.7,59.9,11.9,2.8,8
Yeshiva University,United States,Americas,Small,Full Comprehensive,High,Private,413,369,28.8,3.1,2.8,65.3,91.6,31.4,13.5,6.6,3,15.8,-44
Concordia University,Canada,Americas,Extra Large,Comprehensive,Very High,Public,415,387,28.7,15.8,11.4,3.3,17.5,87.4,92.3,73.8,43.6,89.8,-28
Oxford Brookes University,United Kingdom,Europe,Large,Comprehensive,High,Public,416,413,28.6,30.7,37.6,13.7,7,67.5,67.4,68.4,20.5,13.2,-3
Technion - Israel Institute of Technology,Israel,Asia,Large,Full Comprehensive,Very High,Public,416,392,28.6,23.9,24.8,52,20.1,74.2,4.3,59.1,35.3,15,-24
University of Dundee,United Kingdom,Europe,Large,Full Comprehensive,High,Public,418,441,28.5,18.4,13.7,30.8,14,91.1,89.4,75.2,7.4,55.4,23
Bogaziçi University,Turkey,Asia,Large,Comprehensive,High,Public,418,514,28.5,24.9,65.3,4.1,10.7,10.7,2.6,46.8,84.9,46.2,96
Czech Technical University in Prague,Czech Republic,Europe,Large,Specialist,Very High,Public,420,454,28.4,22,42.4,80.6,3.6,19.9,50.2,59.4,15.6,5.8,34
Dublin City University,Ireland,Europe,Large,Full Comprehensive,High,Public,421,436,28.3,20.1,26,25.8,10.7,75,22.6,75.4,35.3,82.5,15
University of Limerick,Ireland,Europe,Large,Full Comprehensive,High,Public,421,426,28.3,18.3,25.5,15.7,23,87.1,30.8,72.5,8,76.4,5
Aston University,United Kingdom,Europe,Large,Comprehensive,Very High,Public,423,446,28.1,12.5,18.5,9,34.4,94.2,53.8,79.2,19.6,46.9,23
Université Laval,Canada,Americas,Large,Full Comprehensive,Very High,Public,423,441,28.1,19.2,8.1,26,23.8,55.8,41.6,80.2,36.4,78.4,18
National Taipei University of Technology,Taiwan,Asia,Medium,Foucsed,Very High,Public,425,431,28,13.9,54.7,24.3,41.6,19.8,20.6,21.3,22.5,31.3,6
IPB University (a.k.a. Bogor Agricultural University),Indonesia,Asia,Large,Foucsed,Very High,Public,426,489,27.9,23.5,46.9,71.4,1.8,53.2,3.6,19.1,33.9,35.1,63
Leibniz University Hannover,Germany,Europe,Large,Comprehensive,Very High,Public,426,481,27.9,21.2,32,17.9,17.4,46.3,26.9,78.5,14.5,82.1,55
Julius-Maximilians-Universität Würzburg,Germany,Europe,Large,Full Comprehensive,Very High,Public,428,440,27.8,15.8,7,5.5,74.4,45,9.5,78.5,8.7,8.8,12
Southeast University,China (Mainland),Asia,Extra Large,Full Comprehensive,Very High,Public,428,454,27.8,13.5,6.6,20.8,82,14.4,3.4,69.2,5,11.6,26
University of Science and Technology Beijing,China (Mainland),Asia,Large,Comprehensive,Very High,Public,430,436,27.7,11.8,4.2,10.2,99.4,3.1,2.8,56.8,4.9,3.6,6
Central South University,China (Mainland),Asia,Extra Large,Foucsed,Very High,Public,431,452,27.6,8.6,4.1,5.5,99.7,6.4,4,67.5,14.1,3.9,21
Tomsk State University,Russia,Europe,Medium,Comprehensive,Very High,Public,431,418,27.6,22,13.5,99,4.2,21.6,91.6,64.1,4.4,1.4,-13
University of Granada,Spain,Europe,Extra Large,Full Comprehensive,Very High,Public,431,403,27.6,44.4,14.1,5.7,26.2,3.1,14.8,96.3,4.9,26.3,-28
Ajman University,United Arab Emirates,Asia,Small,Foucsed,Very High,Private,477,551,25.1,17.3,42.2,9.6,3.2,100,100,48.4,9.8,1.4,74
IE University,Spain,Europe,Medium,Foucsed,High,Semi-Autonomous,435,428,27.4,8.1,49.3,46.5,2.2,95.2,100,3.5,65.6,4.6,-7
Iran University of Science and Technology,"Iran, Islamic Republic of",Asia,Large,Foucsed,Very High,Public,436,451,27.2,7.8,14,2.7,98.7,12,1.5,53.4,5.3,1.6,15
Murdoch University,Australia,Oceania,Medium,Comprehensive,Very High,Public,436,431,27.2,8,4.5,5.2,57.3,85.6,73.9,74.9,14.8,11.3,-5
Universitat Politècnica de València,Spain,Europe,Large,Comprehensive,Very High,Public,436,476,27.2,26.5,16.3,36.1,19.7,5.5,25,84.9,11.7,76.1,40
Vilnius University,Lithuania,Europe,Large,Full Comprehensive,High,Public,439,473,27.1,19.1,23.5,74.7,3.3,12.4,13.6,75.5,83.7,27.1,34
Singapore University of Technology and Design,Singapore,Asia,Small,Specialist,Very High,Public,440,429,27,7.4,5.3,99,66,12.5,9.6,31.2,4.6,1.1,-11
Università degli Studi di Pavia,Italy,Europe,Large,Full Comprehensive,Very High,Public,440,469,27,21.7,7.4,8.3,64.6,6.2,12.6,82.7,13.5,15.4,29
Colorado State University,United States,Americas,Large,Comprehensive,Very High,Public,442,409,26.8,18.3,20.4,60.9,17.1,18.5,3.7,78.4,22.2,70.9,-33
Novosibirsk State University,Russia,Europe,Medium,Comprehensive,Very High,Public,442,421,26.8,24.7,18.4,91,9.5,6.3,57,56.5,5.8,5.3,-21
Università Cattolica del Sacro Cuore,Italy,Europe,Large,Foucsed,Very High,Private,442,505,26.8,24.2,35.5,27.6,19.2,15.5,7.1,60.5,32.3,54.8,63
James Cook University,Australia,Oceania,Medium,Full Comprehensive,Very High,Public,445,415,26.7,14.4,6.5,17.5,46.9,36.7,16,76,6.7,88.9,-30
Justus-Liebig-University Giessen,Germany,Europe,Large,Full Comprehensive,Very High,Public,445,396,26.7,12.7,5.9,1.9,79.3,14.2,18.8,83.9,10.5,11,-49
Universitat de Valencia,Spain,Europe,Extra Large,Full Comprehensive,Very High,Public,445,485,26.7,35.6,11,12,19.9,2.1,24.3,89.3,8.4,79.3,40
Dalian University of Technology,China (Mainland),Asia,Extra Large,Comprehensive,Very High,Public,448,491,26.6,9.6,3.8,18.1,88.1,11.5,2.9,55.9,14.4,8,43
Hunan University,China (Mainland),Asia,Extra Large,Comprehensive,Very High,Public,448,494,26.6,7.9,10.3,15.2,90.6,4.6,1.8,46.5,23.1,2.7,46
Université de Montpellier,France,Europe,Extra Large,Foucsed,Very High,Public,448,382,26.6,18.6,3.4,8.5,57.2,22.8,29.9,99.5,13.1,17.3,-66
University of Electronic Science and Technology of China,China (Mainland),Asia,Extra Large,Foucsed,Very High,Public,451,486,26.5,5.3,5,8.2,99.1,3.2,2.5,73.3,7.2,2.3,35
Beihang University (former BUAA),China (Mainland),Asia,Large,Comprehensive,Very High,Public,452,473,26.4,12.1,7.8,41.5,72.1,7,4.5,51.2,12.8,4.3,21
National Taiwan Normal University,Taiwan,Asia,Medium,Comprehensive,Very High,Public,452,431,26.4,34.7,20.5,62.9,5.4,14.5,25.2,23.3,17.3,49.8,-21
University of Kansas,United States,Americas,Large,Full Comprehensive,Very High,Public,452,410,26.4,14.4,12.6,86.7,9.2,60.3,7.2,84.6,28.2,32.4,-42
University of Stirling,United Kingdom,Europe,Medium,Comprehensive,Very High,Public,452,431,26.4,11.2,9.4,9.3,30.3,76.9,81.3,61.6,15.8,76.1,-21
Moscow Institute of Physics and Technology (MIPT / Moscow Phystech),Russia,Europe,Medium,Foucsed,Very High,Public,456,415,26.3,16.6,23.6,94.6,12,31.1,45.5,41.7,17.6,1,-41
Umea University,Sweden,Europe,Large,Full Comprehensive,Very High,Public,456,465,26.3,19.9,11.6,71.8,15.2,51.1,21.8,78,9,26.3,9
Université de Strasbourg,France,Europe,Extra Large,Full Comprehensive,Very High,Public,456,421,26.3,39.1,10.3,5.1,20.7,34.2,35.9,90.7,20.4,5.4,-35
University of Guelph,Canada,Americas,Large,Comprehensive,Very High,Public,456,486,26.3,12.8,12.8,5,50.1,46.4,14.3,65.2,11.2,82.9,30
Stony Brook University  State University of New York,United States,Americas,Large,Full Comprehensive,Very High,Public,460,396,26.2,18,7.3,32.2,23.6,34.7,43.5,76,21.2,79.1,-64
Universidad de Santiago de Chile (USACH),Chile,Americas,Large,Full Comprehensive,High,Public,461,410,26.1,43.4,55,7.2,4.2,6.3,2.2,51.1,12.7,11.2,-51
Tampere University,Finland,Europe,Large,Full Comprehensive,Very High,Public,462,436,26,21.7,15.4,20.4,33.1,44.5,5.9,84.8,30.8,23,-26
Universidad de Sevilla,Spain,Europe,Extra Large,Full Comprehensive,Very High,Public,462,494,26,39.1,12.6,18.4,8.2,3.5,18.9,91.4,16,67.4,32
Macau University of Science and Technology,Macau SAR,Asia,Large,Comprehensive,Very High,Private,464,505,25.9,4.4,3.4,3.9,56.4,100,100,26.2,29.5,11.3,41
Kobe University,Japan,Asia,Large,Full Comprehensive,Very High,Public,465,476,25.8,28.4,33.2,43.9,11.4,7,5.6,55,15,49.8,11
Universität Konstanz,Germany,Europe,Medium,Comprehensive,Very High,Public,466,478,25.7,18.3,10.5,37.8,18.3,85.9,14.5,66.1,13.1,63.1,12
Universitat Ramon Llull,Spain,Europe,Large,Comprehensive,High,Private,466,621,25.7,11,52,8.7,8.1,93.6,43.1,32.6,71.7,20.1,155
University at Buffalo SUNY,United States,Americas,Large,Full Comprehensive,Very High,Public,466,491,25.7,18,10.7,8.8,33.6,20.1,36.9,68.6,33.3,82.5,25
Washington State University,United States,Americas,Large,Full Comprehensive,Very High,Public,466,419,25.7,23.3,20,15.5,33.5,47.1,5,77.3,8.6,29.6,-47
Iowa State University,United States,Americas,Large,Comprehensive,Very High,Public,470,400,25.6,20.7,12,9.1,47.9,7.5,12.5,77.3,32.9,31.3,-70
Ben-Gurion University of The Negev,Israel,Asia,Large,Full Comprehensive,Very High,Public,471,469,25.5,14.4,14.5,11.1,51.7,64,14.3,64.9,16.3,11.8,-2
Essex  University of,United Kingdom,Europe,Large,Comprehensive,Very High,Public,472,459,25.3,15.5,5.2,12.7,22.6,99.8,98.6,75.1,14,13.2,-13
Johannes Kepler University Linz,Austria,Europe,Medium,Foucsed,Very High,Public,472,446,25.3,12.8,12.3,75.9,14.3,83.5,33.5,59.7,12.2,13.2,-26
Bangor University,United Kingdom,Europe,Medium,Full Comprehensive,Very High,Public,474,481,25.2,8.6,5.8,12.1,43,40.7,52.3,75,8.1,82.9,7
Hiroshima University,Japan,Asia,Large,Full Comprehensive,Very High,Public,474,472,25.2,24.1,12.3,75.9,8.9,13.2,12.9,70.1,6.9,50.8,-2
Universität Potsdam,Germany,Europe,Large,Foucsed,Very High,Public,474,460,25.2,15.8,3.4,18.6,36.5,51.8,21.2,92.9,1.3,67.1,-14
University of Sharjah,United Arab Emirates,Asia,Large,Comprehensive,Very High,Private,434,465,27.5,18.1,17.3,6,22,100,100,84.8,11.2,11.8,31
Bilkent University,Turkey,Asia,Medium,Comprehensive,Very High,Private,477,502,25.1,24,52.1,13.3,15.2,61.4,3.7,38.3,19.3,10.6,25
Indian Institute of Technology Indore (IIT Indore),India,Asia,Small,Foucsed,Very High,Public,477,454,25.1,6.1,5,27.1,95.6,2.1,1.1,23.6,2.2,4.2,-23
Royal Holloway University of London,United Kingdom,Europe,Medium,Comprehensive,Very High,Public,477,413,25.1,14.9,5.7,13,27.2,94.1,86.9,73.2,7.2,19.7,-64
Aix-Marseille University,France,Europe,Extra Large,Full Comprehensive,Very High,Public,481,387,25,36.9,6.5,7.9,21.7,17.5,18.2,99.1,15.2,25.5,-94
Pontificia Universidad Católica Argentina,Argentina,Americas,Large,Full Comprehensive,Medium,Private,481,514,25,19.9,29.4,99.9,1.1,1.9,6.7,12.5,85.7,1,33
The University of Tennessee  Knoxville,United States,Americas,Extra Large,Full Comprehensive,Very High,Public,481,446,25,10.1,8.2,9.5,76.3,4.9,2.4,77.3,11,15,-35
China Agricultural University,China (Mainland),Asia,Large,Full Comprehensive,Very High,Public,484,534,24.9,8.4,2.6,18.9,88.8,3.2,1.5,52.2,4.5,5.8,50
American University of Ras Al Khaimah ( AURAK ),United Arab Emirates,Asia,Small,Foucsed,Very High,Public,485,708.5249663,24.8,4.6,3.3,35.5,46.8,100,100,15.4,4.1,1.1,223.5249663
National Sun Yat-sen University,Taiwan,Asia,Medium,Comprehensive,Very High,Public,485,505,24.8,26.5,24.9,32,22.1,22.7,10.8,35.6,11.4,48.9,20
Universität Mannheim,Germany,Europe,Medium,Foucsed,Very High,Public,487,454,24.7,15.3,53.9,3,31,42.4,22.7,27.9,34.9,1.5,-33
University of Hawai?i at Manoa,United States,Americas,Large,Full Comprehensive,Very High,Public,488,386,24.6,15.2,6.6,29.7,41.7,41.7,12,82.9,7.9,30.1,-102
Chongqing University,China (Mainland),Asia,Extra Large,Specialist,Very High,Public,489,561,24.5,7.6,4.6,12.1,81.4,21.3,2.1,59.6,13.6,4.1,72
Chung-Ang University (CAU),South Korea,Asia,Large,Full Comprehensive,Very High,Private,489,494,24.5,16,31.9,67.8,9.3,14.2,37.8,29.9,13.5,49.5,5
Isfahan University of Technology,"Iran, Islamic Republic of",Asia,Medium,Foucsed,Very High,Public,489,708.5249663,24.5,4.9,15.7,5.1,92.2,2.3,1.4,43.5,5.6,1.1,219.5249663
Shanghai University,China (Mainland),Asia,Extra Large,Foucsed,Very High,Public,489,514,24.5,20.3,13.1,50.8,30.5,40.9,5.3,58.7,8.9,10.5,25
UNESP,Brazil,Americas,Extra Large,Full Comprehensive,Very High,Public,489,419,24.5,41.1,25.8,13,16.2,5.9,2.7,70.9,1.5,14.5,-70
University of Jyväskylä,Finland,Europe,Medium,Foucsed,Very High,Public,489,446,24.5,16.2,11.4,87.7,12.1,44,2.6,81.2,10.4,16.3,-43
Central Queensland University (CQUniversity Australia),Australia,Oceania,Small,Foucsed,Very High,Public,495,590,24.4,9,6.7,29.4,20.9,97.1,97.8,44,3.1,49.8,95
Duy Tan University,Vietnam,Asia,Large,Comprehensive,Very High,Semi-Autonomous,495,514,24.4,11.9,25.3,3.9,49,37.7,1.4,83.5,4.4,29,19
Jilin University,China (Mainland),Asia,Extra Large,Full Comprehensive,Very High,Public,497,502,24.2,12.1,46.1,37.4,27.4,11.6,2.1,62.2,23.2,9.1,5
National Research Nuclear University MEPhI (Moscow Engineering Physics Institute),Russia,Europe,Medium,Foucsed,Very High,Public,497,461,24.2,9.2,11.8,98.9,8.1,45.8,89.5,32.9,14.6,1.1,-36
Universidad de Costa Rica,Costa Rica,Americas,Extra Large,Comprehensive,High,Public,497,544,24.2,35.4,24.3,32.3,1.6,2.4,2,45.5,81.6,16.9,47
University of California  Riverside,United States,Americas,Large,Full Comprehensive,Very High,Public,497,404,24.2,16.3,9.4,6.6,50.9,47.9,10.4,77.3,3.7,21.3,-93
Khalifa University of Science and Technology,United Arab Emirates,Asia,Small,Specialist,Very High,Public,202,230,46.1,22.7,21,80,60.7,100,78.9,78.8,9.3,61.6,28
Colorado School of Mines,United States,Americas,Medium,Foucsed,Very High,Public,501,465,24.1,6.8,12.5,15.8,72,29.7,7.4,30.9,17.7,18,-36
East China Normal University,China (Mainland),Asia,Large,Comprehensive,Very High,Public,501,511,24.1,13.3,4.7,16.2,63.5,24.1,9,72,9,6.8,10
Johannes Gutenberg Universität Mainz,Germany,Europe,Large,Foucsed,Very High,Public,501,464,24.1,22.3,11.4,57.8,11.5,42,15.5,87,11.4,16.3,-37
University of Huddersfield,United Kingdom,Europe,Large,Comprehensive,Very High,Public,501,567,24.1,12.7,12.4,7.5,19.4,63.7,85.6,73,1.3,72.3,66
University of Delaware,United States,Americas,Large,Comprehensive,Very High,Public,506,498,24,9.4,7.9,6.6,53.9,30,12.6,66.5,16.9,65.3,-8
University of Trento,Italy,Europe,Large,Comprehensive,Very High,Public,506,429,24,24.9,10.5,22,32.7,29.6,6.1,85.8,4.4,19,-77
Aristotle University of Thessaloniki,Greece,Europe,Extra Large,Full Comprehensive,Very High,Public,508,530,23.9,28.2,26.1,4.3,15.8,1.7,4.1,90.5,38.3,44.3,22
