country,year,indicator,value,category
Tanzania,1985,"Barro-Lee: Average years of tertiary schooling, age 20-24, total",0.03,attainment
Tanzania,1985,"Barro-Lee: Average years of tertiary schooling, age 25+, female",0.01,attainment
Tanzania,1985,"Barro-Lee: Average years of tertiary schooling, age 25+, total",0.02,attainment
Tanzania,1985,"Barro-Lee: Average years of tertiary schooling, age 25-29, female",0.02,attainment
Tanzania,1985,"Barro-Lee: Average years of tertiary schooling, age 25-29, total",0.03,attainment
Tanzania,1985,"Barro-Lee: Average years of tertiary schooling, age 30-34, female",0.01,attainment
Tanzania,1985,"Barro-Lee: Average years of tertiary schooling, age 30-34, total",0.03,attainment
Tanzania,1985,"Barro-Lee: Average years of tertiary schooling, age 35-39, female",0.01,attainment
Tanzania,1985,"Barro-Lee: Average years of tertiary schooling, age 35-39, total",0.03,attainment
Tanzania,1985,"Barro-Lee: Average years of tertiary schooling, age 40-44, female",0.0,attainment
Tanzania,1985,"Barro-Lee: Average years of tertiary schooling, age 40-44, total",0.01,attainment
Tanzania,1985,"Barro-Lee: Average years of tertiary schooling, age 45-49, female",0.0,attainment
Tanzania,1985,"Barro-Lee: Average years of tertiary schooling, age 45-49, total",0.01,attainment
Tanzania,1985,"Barro-Lee: Average years of tertiary schooling, age 50-54, female",0.0,attainment
Tanzania,1985,"Barro-Lee: Average years of tertiary schooling, age 50-54, total",0.0,attainment
Tanzania,1985,"Barro-Lee: Average years of tertiary schooling, age 55-59, female",0.0,attainment
Tanzania,1985,"Barro-Lee: Average years of tertiary schooling, age 55-59, total",0.0,attainment
Tanzania,1985,"Barro-Lee: Average years of tertiary schooling, age 60-64, female",0.0,attainment
Tanzania,1985,"Barro-Lee: Average years of tertiary schooling, age 60-64, total",0.0,attainment
Tanzania,1985,"Barro-Lee: Average years of tertiary schooling, age 65-69, female",0.0,attainment
Tanzania,1985,"Barro-Lee: Average years of tertiary schooling, age 65-69, total",0.0,attainment
Tanzania,1985,"Barro-Lee: Average years of tertiary schooling, age 70-74, female",0.0,attainment
Tanzania,1985,"Barro-Lee: Average years of tertiary schooling, age 70-74, total",0.0,attainment
Tanzania,1985,"Barro-Lee: Average years of tertiary schooling, age 75+, female",0.0,attainment
Tanzania,1985,"Barro-Lee: Average years of tertiary schooling, age 75+, total",0.0,attainment
Tanzania,1985,Barro-Lee: Percentage of female population age 15+ with tertiary schooling. Completed Tertiary,0.17,attainment
Tanzania,1985,Barro-Lee: Percentage of female population age 15+ with tertiary schooling. Total (Incomplete and Completed Tertiary),0.32,attainment
Tanzania,1985,Barro-Lee: Percentage of female population age 15-19 with tertiary schooling. Completed Tertiary,0.01,attainment
Tanzania,1985,Barro-Lee: Percentage of female population age 15-19 with tertiary schooling. Total (Incomplete and Completed Tertiary),0.04,attainment
Tanzania,1985,Barro-Lee: Percentage of female population age 20-24 with tertiary schooling. Completed Tertiary,0.32,attainment
Tanzania,1985,Barro-Lee: Percentage of female population age 20-24 with tertiary schooling. Total (Incomplete and Completed Tertiary),0.74,attainment
Tanzania,1985,Barro-Lee: Percentage of female population age 25+ with tertiary schooling. Completed Tertiary,0.2,attainment
Tanzania,1985,Barro-Lee: Percentage of female population age 25+ with tertiary schooling. Total (Incomplete and Completed Tertiary),0.31,attainment
Tanzania,1985,Barro-Lee: Percentage of female population age 25-29 with tertiary schooling. Completed Tertiary,0.46,attainment
Tanzania,1985,Barro-Lee: Percentage of female population age 25-29 with tertiary schooling. Total (Incomplete and Completed Tertiary),0.74,attainment
Tanzania,1985,Barro-Lee: Percentage of female population age 30-34 with tertiary schooling. Completed Tertiary,0.26,attainment
Tanzania,1985,Barro-Lee: Percentage of female population age 30-34 with tertiary schooling. Total (Incomplete and Completed Tertiary),0.42,attainment
Tanzania,1985,Barro-Lee: Percentage of female population age 35-39 with tertiary schooling. Completed Tertiary,0.28,attainment
Tanzania,1985,Barro-Lee: Percentage of female population age 35-39 with tertiary schooling. Total (Incomplete and Completed Tertiary),0.42,attainment
Tanzania,1985,Barro-Lee: Percentage of female population age 40-44 with tertiary schooling. Completed Tertiary,0.05,attainment
Tanzania,1985,Barro-Lee: Percentage of female population age 40-44 with tertiary schooling. Total (Incomplete and Completed Tertiary),0.08,attainment
Tanzania,1985,Barro-Lee: Percentage of female population age 45-49 with tertiary schooling. Completed Tertiary,0.05,attainment
Tanzania,1985,Barro-Lee: Percentage of female population age 45-49 with tertiary schooling. Total (Incomplete and Completed Tertiary),0.08,attainment
Tanzania,1985,Barro-Lee: Percentage of female population age 50-54 with tertiary schooling. Completed Tertiary,0.03,attainment
Tanzania,1985,Barro-Lee: Percentage of female population age 50-54 with tertiary schooling. Total (Incomplete and Completed Tertiary),0.05,attainment
Tanzania,1985,Barro-Lee: Percentage of female population age 55-59 with tertiary schooling. Completed Tertiary,0.03,attainment
Tanzania,1985,Barro-Lee: Percentage of female population age 55-59 with tertiary schooling. Total (Incomplete and Completed Tertiary),0.05,attainment
Tanzania,1985,Barro-Lee: Percentage of female population age 60-64 with tertiary schooling. Completed Tertiary,0.03,attainment
Tanzania,1985,Barro-Lee: Percentage of female population age 60-64 with tertiary schooling. Total (Incomplete and Completed Tertiary),0.04,attainment
Tanzania,1985,Barro-Lee: Percentage of female population age 65-69 with tertiary schooling. Completed Tertiary,0.03,attainment
Tanzania,1985,Barro-Lee: Percentage of female population age 65-69 with tertiary schooling. Total (Incomplete and Completed Tertiary),0.04,attainment
Tanzania,1985,Barro-Lee: Percentage of female population age 70-74 with tertiary schooling. Completed Tertiary,0.03,attainment
Tanzania,1985,Barro-Lee: Percentage of female population age 70-74 with tertiary schooling. Total (Incomplete and Completed Tertiary),0.04,attainment
Tanzania,1985,Barro-Lee: Percentage of female population age 75+ with tertiary schooling. Completed Tertiary,0.03,attainment
Tanzania,1985,Barro-Lee: Percentage of female population age 75+ with tertiary schooling. Total (Incomplete and Completed Tertiary),0.04,attainment
Tanzania,1985,Barro-Lee: Percentage of population age 15+ with tertiary schooling. Completed Tertiary,0.3,attainment
Tanzania,1985,Barro-Lee: Percentage of population age 15+ with tertiary schooling. Total (Incomplete and Completed Tertiary),0.56,attainment
Tanzania,1985,Barro-Lee: Percentage of population age 15-19 with tertiary schooling. Completed Tertiary,0.01,attainment
Tanzania,1985,Barro-Lee: Percentage of population age 15-19 with tertiary schooling. Total (Incomplete and Completed Tertiary),0.04,attainment
Tanzania,1985,Barro-Lee: Percentage of population age 20-24 with tertiary schooling. Completed Tertiary,0.44,attainment
Tanzania,1985,Barro-Lee: Percentage of population age 20-24 with tertiary schooling. Total (Incomplete and Completed Tertiary),1.08,attainment
Tanzania,1985,Barro-Lee: Percentage of population age 25+ with tertiary schooling. Completed Tertiary,0.39,attainment
Tanzania,1985,Barro-Lee: Percentage of population age 25+ with tertiary schooling. Total (Incomplete and Completed Tertiary),0.59,attainment
Tanzania,1985,Barro-Lee: Percentage of population age 25-29 with tertiary schooling. Completed Tertiary,0.65,attainment
Tanzania,1985,Barro-Lee: Percentage of population age 25-29 with tertiary schooling. Total (Incomplete and Completed Tertiary),1.08,attainment
Tanzania,1985,Barro-Lee: Percentage of population age 30-34 with tertiary schooling. Completed Tertiary,0.51,attainment
Tanzania,1985,Barro-Lee: Percentage of population age 30-34 with tertiary schooling. Total (Incomplete and Completed Tertiary),0.82,attainment
Tanzania,1985,Barro-Lee: Percentage of population age 35-39 with tertiary schooling. Completed Tertiary,0.57,attainment
Tanzania,1985,Barro-Lee: Percentage of population age 35-39 with tertiary schooling. Total (Incomplete and Completed Tertiary),0.82,attainment
Tanzania,1985,Barro-Lee: Percentage of population age 40-44 with tertiary schooling. Completed Tertiary,0.28,attainment
Tanzania,1985,Barro-Lee: Percentage of population age 40-44 with tertiary schooling. Total (Incomplete and Completed Tertiary),0.41,attainment
Tanzania,1985,Barro-Lee: Percentage of population age 45-49 with tertiary schooling. Completed Tertiary,0.28,attainment
Tanzania,1985,Barro-Lee: Percentage of population age 45-49 with tertiary schooling. Total (Incomplete and Completed Tertiary),0.41,attainment
Tanzania,1985,Barro-Lee: Percentage of population age 50-54 with tertiary schooling. Completed Tertiary,0.07,attainment
Tanzania,1985,Barro-Lee: Percentage of population age 50-54 with tertiary schooling. Total (Incomplete and Completed Tertiary),0.1,attainment
Tanzania,1985,Barro-Lee: Percentage of population age 55-59 with tertiary schooling. Completed Tertiary,0.06,attainment
Tanzania,1985,Barro-Lee: Percentage of population age 55-59 with tertiary schooling. Total (Incomplete and Completed Tertiary),0.09,attainment
Tanzania,1985,Barro-Lee: Percentage of population age 60-64 with tertiary schooling. Completed Tertiary,0.06,attainment
Tanzania,1985,Barro-Lee: Percentage of population age 60-64 with tertiary schooling. Total (Incomplete and Completed Tertiary),0.08,attainment
Tanzania,1985,Barro-Lee: Percentage of population age 65-69 with tertiary schooling. Completed Tertiary,0.05,attainment
Tanzania,1985,Barro-Lee: Percentage of population age 65-69 with tertiary schooling. Total (Incomplete and Completed Tertiary),0.07,attainment
Tanzania,1985,Barro-Lee: Percentage of population age 70-74 with tertiary schooling. Completed Tertiary,0.05,attainment
Tanzania,1985,Barro-Lee: Percentage of population age 70-74 with tertiary schooling. Total (Incomplete and Completed Tertiary),0.07,attainment
Tanzania,1985,Barro-Lee: Percentage of population age 75+ with tertiary schooling. Completed Tertiary,0.05,attainment
Tanzania,1985,Barro-Lee: Percentage of population age 75+ with tertiary schooling. Total (Incomplete and Completed Tertiary),0.07,attainment
Thailand,1985,"Barro-Lee: Average years of tertiary schooling, age 15+, female",0.14,attainment
Thailand,1985,"Barro-Lee: Average years of tertiary schooling, age 15+, total",0.16,attainment
Thailand,1985,"Barro-Lee: Average years of tertiary schooling, age 15-19, female",0.06,attainment
Thailand,1985,"Barro-Lee: Average years of tertiary schooling, age 15-19, total",0.06,attainment
Thailand,1985,"Barro-Lee: Average years of tertiary schooling, age 20-24, female",0.35,attainment
Thailand,1985,"Barro-Lee: Average years of tertiary schooling, age 20-24, total",0.36,attainment
Thailand,1985,"Barro-Lee: Average years of tertiary schooling, age 25+, female",0.12,attainment
Thailand,1985,"Barro-Lee: Average years of tertiary schooling, age 25+, total",0.14,attainment
Thailand,1985,"Barro-Lee: Average years of tertiary schooling, age 25-29, female",0.25,attainment
Thailand,1985,"Barro-Lee: Average years of tertiary schooling, age 25-29, total",0.24,attainment
Thailand,1985,"Barro-Lee: Average years of tertiary schooling, age 30-34, female",0.17,attainment
Thailand,1985,"Barro-Lee: Average years of tertiary schooling, age 30-34, total",0.19,attainment
Thailand,1985,"Barro-Lee: Average years of tertiary schooling, age 35-39, female",0.17,attainment
Thailand,1985,"Barro-Lee: Average years of tertiary schooling, age 35-39, total",0.19,attainment
Thailand,1985,"Barro-Lee: Average years of tertiary schooling, age 40-44, female",0.08,attainment
Thailand,1985,"Barro-Lee: Average years of tertiary schooling, age 40-44, total",0.11,attainment
Thailand,1985,"Barro-Lee: Average years of tertiary schooling, age 45-49, female",0.07,attainment
Thailand,1985,"Barro-Lee: Average years of tertiary schooling, age 45-49, total",0.1,attainment
Thailand,1985,"Barro-Lee: Average years of tertiary schooling, age 50-54, female",0.02,attainment
Thailand,1985,"Barro-Lee: Average years of tertiary schooling, age 50-54, total",0.04,attainment
Thailand,1985,"Barro-Lee: Average years of tertiary schooling, age 55-59, female",0.02,attainment
Thailand,1985,"Barro-Lee: Average years of tertiary schooling, age 55-59, total",0.04,attainment
Thailand,1985,"Barro-Lee: Average years of tertiary schooling, age 60-64, female",0.02,attainment
Thailand,1985,"Barro-Lee: Average years of tertiary schooling, age 60-64, total",0.04,attainment
Thailand,1985,"Barro-Lee: Average years of tertiary schooling, age 65-69, female",0.02,attainment
Thailand,1985,"Barro-Lee: Average years of tertiary schooling, age 65-69, total",0.04,attainment
Thailand,1985,"Barro-Lee: Average years of tertiary schooling, age 70-74, female",0.02,attainment
Thailand,1985,"Barro-Lee: Average years of tertiary schooling, age 70-74, total",0.04,attainment
Thailand,1985,"Barro-Lee: Average years of tertiary schooling, age 75+, female",0.02,attainment
Thailand,1985,"Barro-Lee: Average years of tertiary schooling, age 75+, total",0.04,attainment
Thailand,1985,Barro-Lee: Percentage of female population age 15+ with tertiary schooling. Completed Tertiary,3.2,attainment
Thailand,1985,Barro-Lee: Percentage of female population age 15+ with tertiary schooling. Total (Incomplete and Completed Tertiary),3.95,attainment
Thailand,1985,Barro-Lee: Percentage of female population age 15-19 with tertiary schooling. Completed Tertiary,0.91,attainment
Thailand,1985,Barro-Lee: Percentage of female population age 15-19 with tertiary schooling. Total (Incomplete and Completed Tertiary),1.96,attainment
Thailand,1985,Barro-Lee: Percentage of female population age 20-24 with tertiary schooling. Completed Tertiary,7.88,attainment
Thailand,1985,Barro-Lee: Percentage of female population age 20-24 with tertiary schooling. Total (Incomplete and Completed Tertiary),9.55,attainment
Thailand,1985,Barro-Lee: Percentage of female population age 25+ with tertiary schooling. Completed Tertiary,2.82,attainment
Thailand,1985,Barro-Lee: Percentage of female population age 25+ with tertiary schooling. Total (Incomplete and Completed Tertiary),3.14,attainment
Thailand,1985,Barro-Lee: Percentage of female population age 25-29 with tertiary schooling. Completed Tertiary,6.02,attainment
Thailand,1985,Barro-Lee: Percentage of female population age 25-29 with tertiary schooling. Total (Incomplete and Completed Tertiary),6.3,attainment
Thailand,1985,Barro-Lee: Percentage of female population age 30-34 with tertiary schooling. Completed Tertiary,4.19,attainment
Thailand,1985,Barro-Lee: Percentage of female population age 30-34 with tertiary schooling. Total (Incomplete and Completed Tertiary),4.44,attainment
Thailand,1985,Barro-Lee: Percentage of female population age 35-39 with tertiary schooling. Completed Tertiary,4.03,attainment
Thailand,1985,Barro-Lee: Percentage of female population age 35-39 with tertiary schooling. Total (Incomplete and Completed Tertiary),4.27,attainment
Thailand,1985,Barro-Lee: Percentage of female population age 40-44 with tertiary schooling. Completed Tertiary,1.82,attainment
Thailand,1985,Barro-Lee: Percentage of female population age 40-44 with tertiary schooling. Total (Incomplete and Completed Tertiary),1.93,attainment
Thailand,1985,Barro-Lee: Percentage of female population age 45-49 with tertiary schooling. Completed Tertiary,1.75,attainment
Thailand,1985,Barro-Lee: Percentage of female population age 45-49 with tertiary schooling. Total (Incomplete and Completed Tertiary),1.85,attainment
Thailand,1985,Barro-Lee: Percentage of female population age 50-54 with tertiary schooling. Completed Tertiary,0.45,attainment
Thailand,1985,Barro-Lee: Percentage of female population age 50-54 with tertiary schooling. Total (Incomplete and Completed Tertiary),0.54,attainment
Thailand,1985,Barro-Lee: Percentage of female population age 55-59 with tertiary schooling. Completed Tertiary,0.41,attainment
Thailand,1985,Barro-Lee: Percentage of female population age 55-59 with tertiary schooling. Total (Incomplete and Completed Tertiary),0.49,attainment
Thailand,1985,Barro-Lee: Percentage of female population age 60-64 with tertiary schooling. Completed Tertiary,0.4,attainment
Thailand,1985,Barro-Lee: Percentage of female population age 60-64 with tertiary schooling. Total (Incomplete and Completed Tertiary),0.48,attainment
Thailand,1985,Barro-Lee: Percentage of female population age 65-69 with tertiary schooling. Completed Tertiary,0.4,attainment
Thailand,1985,Barro-Lee: Percentage of female population age 65-69 with tertiary schooling. Total (Incomplete and Completed Tertiary),0.48,attainment
Thailand,1985,Barro-Lee: Percentage of female population age 70-74 with tertiary schooling. Completed Tertiary,0.44,attainment
Thailand,1985,Barro-Lee: Percentage of female population age 70-74 with tertiary schooling. Total (Incomplete and Completed Tertiary),0.52,attainment
Thailand,1985,Barro-Lee: Percentage of female population age 75+ with tertiary schooling. Completed Tertiary,0.41,attainment
Thailand,1985,Barro-Lee: Percentage of female population age 75+ with tertiary schooling. Total (Incomplete and Completed Tertiary),0.52,attainment
Thailand,1985,Barro-Lee: Percentage of population age 15+ with tertiary schooling. Completed Tertiary,3.65,attainment
Thailand,1985,Barro-Lee: Percentage of population age 15+ with tertiary schooling. Total (Incomplete and Completed Tertiary),4.39,attainment
Thailand,1985,Barro-Lee: Percentage of population age 15-19 with tertiary schooling. Completed Tertiary,0.97,attainment
Thailand,1985,Barro-Lee: Percentage of population age 15-19 with tertiary schooling. Total (Incomplete and Completed Tertiary),2.16,attainment
Thailand,1985,Barro-Lee: Percentage of population age 20-24 with tertiary schooling. Completed Tertiary,8.09,attainment
Thailand,1985,Barro-Lee: Percentage of population age 20-24 with tertiary schooling. Total (Incomplete and Completed Tertiary),9.99,attainment
Thailand,1985,Barro-Lee: Percentage of population age 25+ with tertiary schooling. Completed Tertiary,3.42,attainment
Thailand,1985,Barro-Lee: Percentage of population age 25+ with tertiary schooling. Total (Incomplete and Completed Tertiary),3.63,attainment
Thailand,1985,Barro-Lee: Percentage of population age 25-29 with tertiary schooling. Completed Tertiary,5.87,attainment
Thailand,1985,Barro-Lee: Percentage of population age 25-29 with tertiary schooling. Total (Incomplete and Completed Tertiary),6.16,attainment
Thailand,1985,Barro-Lee: Percentage of population age 30-34 with tertiary schooling. Completed Tertiary,4.7,attainment
Thailand,1985,Barro-Lee: Percentage of population age 30-34 with tertiary schooling. Total (Incomplete and Completed Tertiary),4.99,attainment
Thailand,1985,Barro-Lee: Percentage of population age 35-39 with tertiary schooling. Completed Tertiary,4.54,attainment
Thailand,1985,Barro-Lee: Percentage of population age 35-39 with tertiary schooling. Total (Incomplete and Completed Tertiary),4.83,attainment
Thailand,1985,Barro-Lee: Percentage of population age 40-44 with tertiary schooling. Completed Tertiary,2.57,attainment
Thailand,1985,Barro-Lee: Percentage of population age 40-44 with tertiary schooling. Total (Incomplete and Completed Tertiary),2.72,attainment
Thailand,1985,Barro-Lee: Percentage of population age 45-49 with tertiary schooling. Completed Tertiary,2.48,attainment
Thailand,1985,Barro-Lee: Percentage of population age 45-49 with tertiary schooling. Total (Incomplete and Completed Tertiary),2.62,attainment
Thailand,1985,Barro-Lee: Percentage of population age 50-54 with tertiary schooling. Completed Tertiary,1.02,attainment
Thailand,1985,Barro-Lee: Percentage of population age 50-54 with tertiary schooling. Total (Incomplete and Completed Tertiary),1.11,attainment
Thailand,1985,Barro-Lee: Percentage of population age 55-59 with tertiary schooling. Completed Tertiary,0.95,attainment
Thailand,1985,Barro-Lee: Percentage of population age 55-59 with tertiary schooling. Total (Incomplete and Completed Tertiary),1.04,attainment
Thailand,1985,Barro-Lee: Percentage of population age 60-64 with tertiary schooling. Completed Tertiary,0.94,attainment
Thailand,1985,Barro-Lee: Percentage of population age 60-64 with tertiary schooling. Total (Incomplete and Completed Tertiary),1.03,attainment
Thailand,1985,Barro-Lee: Percentage of population age 65-69 with tertiary schooling. Completed Tertiary,0.93,attainment
Thailand,1985,Barro-Lee: Percentage of population age 65-69 with tertiary schooling. Total (Incomplete and Completed Tertiary),1.02,attainment
Thailand,1985,Barro-Lee: Percentage of population age 70-74 with tertiary schooling. Completed Tertiary,1.01,attainment
Thailand,1985,Barro-Lee: Percentage of population age 70-74 with tertiary schooling. Total (Incomplete and Completed Tertiary),1.11,attainment
Thailand,1985,Barro-Lee: Percentage of population age 75+ with tertiary schooling. Completed Tertiary,0.97,attainment
Thailand,1985,Barro-Lee: Percentage of population age 75+ with tertiary schooling. Total (Incomplete and Completed Tertiary),1.11,attainment
Togo,1985,"Barro-Lee: Average years of tertiary schooling, age 15+, female",0.02,attainment
Togo,1985,"Barro-Lee: Average years of tertiary schooling, age 15+, total",0.04,attainment
Togo,1985,"Barro-Lee: Average years of tertiary schooling, age 15-19, female",0.01,attainment
Togo,1985,"Barro-Lee: Average years of tertiary schooling, age 15-19, total",0.01,attainment
Togo,1985,"Barro-Lee: Average years of tertiary schooling, age 20-24, female",0.02,attainment
Togo,1985,"Barro-Lee: Average years of tertiary schooling, age 20-24, total",0.06,attainment
Togo,1985,"Barro-Lee: Average years of tertiary schooling, age 25+, female",0.02,attainment
Togo,1985,"Barro-Lee: Average years of tertiary schooling, age 25+, total",0.06,attainment
Togo,1985,"Barro-Lee: Average years of tertiary schooling, age 25-29, female",0.03,attainment
Togo,1985,"Barro-Lee: Average years of tertiary schooling, age 25-29, total",0.06,attainment
Togo,1985,"Barro-Lee: Average years of tertiary schooling, age 30-34, female",0.03,attainment
Togo,1985,"Barro-Lee: Average years of tertiary schooling, age 30-34, total",0.06,attainment
Togo,1985,"Barro-Lee: Average years of tertiary schooling, age 35-39, female",0.03,attainment
Togo,1985,"Barro-Lee: Average years of tertiary schooling, age 35-39, total",0.07,attainment
Togo,1985,"Barro-Lee: Average years of tertiary schooling, age 40-44, female",0.02,attainment
Togo,1985,"Barro-Lee: Average years of tertiary schooling, age 40-44, total",0.07,attainment
Togo,1985,"Barro-Lee: Average years of tertiary schooling, age 45-49, female",0.02,attainment
Togo,1985,"Barro-Lee: Average years of tertiary schooling, age 45-49, total",0.05,attainment
Togo,1985,"Barro-Lee: Average years of tertiary schooling, age 50-54, female",0.02,attainment
Togo,1985,"Barro-Lee: Average years of tertiary schooling, age 50-54, total",0.05,attainment
Togo,1985,"Barro-Lee: Average years of tertiary schooling, age 55-59, female",0.01,attainment
Togo,1985,"Barro-Lee: Average years of tertiary schooling, age 55-59, total",0.03,attainment
Togo,1985,"Barro-Lee: Average years of tertiary schooling, age 60-64, female",0.01,attainment
Togo,1985,"Barro-Lee: Average years of tertiary schooling, age 60-64, total",0.03,attainment
Togo,1985,"Barro-Lee: Average years of tertiary schooling, age 65-69, female",0.01,attainment
Togo,1985,"Barro-Lee: Average years of tertiary schooling, age 65-69, total",0.02,attainment
Togo,1985,"Barro-Lee: Average years of tertiary schooling, age 70-74, female",0.01,attainment
Togo,1985,"Barro-Lee: Average years of tertiary schooling, age 70-74, total",0.03,attainment
Togo,1985,"Barro-Lee: Average years of tertiary schooling, age 75+, female",0.0,attainment
Togo,1985,"Barro-Lee: Average years of tertiary schooling, age 75+, total",0.01,attainment
Togo,1985,Barro-Lee: Percentage of female population age 15+ with tertiary schooling. Completed Tertiary,0.3,attainment
Togo,1985,Barro-Lee: Percentage of female population age 15+ with tertiary schooling. Total (Incomplete and Completed Tertiary),0.58,attainment
Togo,1985,Barro-Lee: Percentage of female population age 15-19 with tertiary schooling. Completed Tertiary,0.05,attainment
Togo,1985,Barro-Lee: Percentage of female population age 15-19 with tertiary schooling. Total (Incomplete and Completed Tertiary),0.25,attainment
Togo,1985,Barro-Lee: Percentage of female population age 20-24 with tertiary schooling. Completed Tertiary,0.36,attainment
Togo,1985,Barro-Lee: Percentage of female population age 20-24 with tertiary schooling. Total (Incomplete and Completed Tertiary),0.84,attainment
Togo,1985,Barro-Lee: Percentage of female population age 25+ with tertiary schooling. Completed Tertiary,0.39,attainment
Togo,1985,Barro-Lee: Percentage of female population age 25+ with tertiary schooling. Total (Incomplete and Completed Tertiary),0.61,attainment
Togo,1985,Barro-Lee: Percentage of female population age 25-29 with tertiary schooling. Completed Tertiary,0.52,attainment
Togo,1985,Barro-Lee: Percentage of female population age 25-29 with tertiary schooling. Total (Incomplete and Completed Tertiary),0.85,attainment
Togo,1985,Barro-Lee: Percentage of female population age 30-34 with tertiary schooling. Completed Tertiary,0.48,attainment
Togo,1985,Barro-Lee: Percentage of female population age 30-34 with tertiary schooling. Total (Incomplete and Completed Tertiary),0.77,attainment
Togo,1985,Barro-Lee: Percentage of female population age 35-39 with tertiary schooling. Completed Tertiary,0.53,attainment
Togo,1985,Barro-Lee: Percentage of female population age 35-39 with tertiary schooling. Total (Incomplete and Completed Tertiary),0.77,attainment
Togo,1985,Barro-Lee: Percentage of female population age 40-44 with tertiary schooling. Completed Tertiary,0.49,attainment
Togo,1985,Barro-Lee: Percentage of female population age 40-44 with tertiary schooling. Total (Incomplete and Completed Tertiary),0.73,attainment
Togo,1985,Barro-Lee: Percentage of female population age 45-49 with tertiary schooling. Completed Tertiary,0.3,attainment
Togo,1985,Barro-Lee: Percentage of female population age 45-49 with tertiary schooling. Total (Incomplete and Completed Tertiary),0.46,attainment
Togo,1985,Barro-Lee: Percentage of female population age 50-54 with tertiary schooling. Completed Tertiary,0.3,attainment
Togo,1985,Barro-Lee: Percentage of female population age 50-54 with tertiary schooling. Total (Incomplete and Completed Tertiary),0.46,attainment
Togo,1985,Barro-Lee: Percentage of female population age 55-59 with tertiary schooling. Completed Tertiary,0.18,attainment
Togo,1985,Barro-Lee: Percentage of female population age 55-59 with tertiary schooling. Total (Incomplete and Completed Tertiary),0.3,attainment
Togo,1985,Barro-Lee: Percentage of female population age 60-64 with tertiary schooling. Completed Tertiary,0.19,attainment
Togo,1985,Barro-Lee: Percentage of female population age 60-64 with tertiary schooling. Total (Incomplete and Completed Tertiary),0.3,attainment
Togo,1985,Barro-Lee: Percentage of female population age 65-69 with tertiary schooling. Completed Tertiary,0.13,attainment
Togo,1985,Barro-Lee: Percentage of female population age 65-69 with tertiary schooling. Total (Incomplete and Completed Tertiary),0.2,attainment
Togo,1985,Barro-Lee: Percentage of female population age 70-74 with tertiary schooling. Completed Tertiary,0.14,attainment
Togo,1985,Barro-Lee: Percentage of female population age 70-74 with tertiary schooling. Total (Incomplete and Completed Tertiary),0.22,attainment
Togo,1985,Barro-Lee: Percentage of female population age 75+ with tertiary schooling. Completed Tertiary,0.07,attainment
Togo,1985,Barro-Lee: Percentage of female population age 75+ with tertiary schooling. Total (Incomplete and Completed Tertiary),0.11,attainment
Togo,1985,Barro-Lee: Percentage of population age 15+ with tertiary schooling. Completed Tertiary,0.76,attainment
Togo,1985,Barro-Lee: Percentage of population age 15+ with tertiary schooling. Total (Incomplete and Completed Tertiary),1.43,attainment
Togo,1985,Barro-Lee: Percentage of population age 15-19 with tertiary schooling. Completed Tertiary,0.04,attainment
Togo,1985,Barro-Lee: Percentage of population age 15-19 with tertiary schooling. Total (Incomplete and Completed Tertiary),0.22,attainment
Togo,1985,Barro-Lee: Percentage of population age 20-24 with tertiary schooling. Completed Tertiary,0.8,attainment
Togo,1985,Barro-Lee: Percentage of population age 20-24 with tertiary schooling. Total (Incomplete and Completed Tertiary),1.97,attainment
Togo,1985,Barro-Lee: Percentage of population age 25+ with tertiary schooling. Completed Tertiary,1.1,attainment
Togo,1985,Barro-Lee: Percentage of population age 25+ with tertiary schooling. Total (Incomplete and Completed Tertiary),1.66,attainment
Togo,1985,Barro-Lee: Percentage of population age 25-29 with tertiary schooling. Completed Tertiary,1.23,attainment
Togo,1985,Barro-Lee: Percentage of population age 25-29 with tertiary schooling. Total (Incomplete and Completed Tertiary),2.02,attainment
Togo,1985,Barro-Lee: Percentage of population age 30-34 with tertiary schooling. Completed Tertiary,1.24,attainment
Togo,1985,Barro-Lee: Percentage of population age 30-34 with tertiary schooling. Total (Incomplete and Completed Tertiary),2.0,attainment
Togo,1985,Barro-Lee: Percentage of population age 35-39 with tertiary schooling. Completed Tertiary,1.45,attainment
Togo,1985,Barro-Lee: Percentage of population age 35-39 with tertiary schooling. Total (Incomplete and Completed Tertiary),2.1,attainment
Togo,1985,Barro-Lee: Percentage of population age 40-44 with tertiary schooling. Completed Tertiary,1.33,attainment
Togo,1985,Barro-Lee: Percentage of population age 40-44 with tertiary schooling. Total (Incomplete and Completed Tertiary),1.93,attainment
Togo,1985,Barro-Lee: Percentage of population age 45-49 with tertiary schooling. Completed Tertiary,1.02,attainment
Togo,1985,Barro-Lee: Percentage of population age 45-49 with tertiary schooling. Total (Incomplete and Completed Tertiary),1.47,attainment
Togo,1985,Barro-Lee: Percentage of population age 50-54 with tertiary schooling. Completed Tertiary,0.95,attainment
Togo,1985,Barro-Lee: Percentage of population age 50-54 with tertiary schooling. Total (Incomplete and Completed Tertiary),1.36,attainment
Togo,1985,Barro-Lee: Percentage of population age 55-59 with tertiary schooling. Completed Tertiary,0.61,attainment
Togo,1985,Barro-Lee: Percentage of population age 55-59 with tertiary schooling. Total (Incomplete and Completed Tertiary),0.9,attainment
Togo,1985,Barro-Lee: Percentage of population age 60-64 with tertiary schooling. Completed Tertiary,0.63,attainment
